代码,名称,现价,左峰价,成交量比,RSI6,涨跌幅,买入信号强度,操作建议
603108,润达医疗,17.94,16.65,2.24,91.49,9.99,80%,试错观察：多头趋势，轻仓跟进
600784,鲁银投资,7.96,7.53,2.08,96.8,9.94,80%,试错观察：多头趋势，轻仓跟进
002712,思美传媒,6.5,6.11,2.35,100.0,8.15,80%,试错观察：多头趋势，轻仓跟进
600676,交运股份,6.79,6.21,1.92,92.31,10.05,80%,试错观察：多头趋势，轻仓跟进
600133,东湖高新,10.66,9.87,2.04,95.81,9.9,80%,试错观察：多头趋势，轻仓跟进
600513,联环药业,21.11,20.32,3.46,87.43,10.01,80%,试错观察：多头趋势，轻仓跟进
601958,金钼股份,18.38,17.23,2.24,90.86,9.99,80%,试错观察：多头趋势，轻仓跟进
000050,深天马Ａ,10.25,9.97,2.54,90.12,7.11,80%,试错观察：多头趋势，轻仓跟进
603015,弘讯科技,17.11,15.55,11.17,92.68,10.03,80%,试错观察：多头趋势，轻仓跟进
605177,东亚药业,21.11,19.85,3.25,97.93,8.15,80%,试错观察：多头趋势，轻仓跟进
603189,网达软件,21.38,20.62,3.55,100.0,7.38,80%,试错观察：多头趋势，轻仓跟进
000501,武商集团,11.1,10.78,3.26,87.1,7.77,80%,试错观察：多头趋势，轻仓跟进
002777,久远银海,20.31,18.56,5.17,93.9,10.02,80%,试错观察：多头趋势，轻仓跟进
603888,新华网,22.24,21.05,3.09,93.95,7.91,80%,试错观察：多头趋势，轻仓跟进
002649,博彦科技,14.41,13.53,3.96,90.06,7.7,80%,试错观察：多头趋势，轻仓跟进
600728,佳都科技,7.15,7.04,2.91,75.29,6.24,70%,试错观察：多头趋势，轻仓跟进
600714,金瑞矿业,13.14,12.91,2.83,77.27,4.7,70%,试错观察：多头趋势，轻仓跟进
601512,中新集团,10.17,9.9,2.01,77.93,6.16,70%,试错观察：多头趋势，轻仓跟进
000338,潍柴动力,18.34,18.07,2.24,77.53,4.32,70%,试错观察：多头趋势，轻仓跟进
600223,福瑞达,7.53,7.52,1.91,72.5,1.76,70%,试错观察：多头趋势，轻仓跟进
600830,香溢融通,9.88,9.83,2.95,69.74,3.67,70%,试错观察：多头趋势，轻仓跟进
002467,二六三,6.36,6.23,2.02,87.5,2.91,60%,观察
605066,天正电气,7.88,7.61,2.56,98.31,4.1,60%,观察
002279,久其软件,9.38,9.06,1.92,97.3,3.53,60%,观察
601789,宁波建工,5.27,5.23,1.98,93.33,2.93,60%,观察
000531,穗恒运Ａ,6.87,6.8,2.88,88.46,3.31,60%,观察
600633,浙数文化,13.94,13.45,2.8,96.8,4.65,60%,观察
002090,金智科技,12.92,12.4,2.33,95.73,4.36,60%,观察
600722,金牛化工,6.7,6.6,3.42,82.3,6.01,60%,观察
605162,新中港,9.29,9.13,1.93,84.76,4.85,60%,观察
002706,良信股份,11.77,11.38,2.1,95.12,5.75,60%,观察
600521,华海药业,18.6,18.3,1.97,87.17,2.88,60%,观察
603000,人民网,21.05,20.24,2.12,97.8,4.88,60%,观察
002639,雪人集团,24.57,24.16,2.19,88.18,1.7,60%,观察
002088,鲁阳节能,11.35,11.06,4.8,97.94,6.77,60%,观察
000676,智度股份,9.46,9.03,2.31,90.99,6.17,60%,观察
600283,钱江水利,9.65,9.52,2.47,96.88,2.01,60%,观察
000852,石化机械,7.75,7.5,2.34,82.95,4.03,60%,观察
002580,圣阳股份,13.22,12.97,2.47,82.08,2.8,60%,观察
601858,中国科传,19.52,18.65,2.48,91.35,5.23,60%,观察
601615,明阳智能,17.89,17.3,2.85,100.0,6.81,60%,观察
603693,江苏新能,12.31,12.19,2.01,98.11,1.74,60%,观察
002878,元隆雅图,19.78,19.11,2.26,93.08,4.32,60%,观察
000156,华数传媒,8.31,8.0,2.29,100.0,4.53,60%,观察
002119,康强电子,18.68,17.74,2.56,96.93,5.66,60%,观察
603466,风语筑,10.38,10.35,1.98,84.62,3.8,60%,观察
000541,佛山照明,6.32,6.18,2.72,90.24,3.44,60%,观察
603169,兰石重装,13.02,12.46,1.95,100.0,4.49,60%,观察
601811,新华文轩,14.67,14.08,5.27,100.0,4.86,60%,观察
601226,华电科工,8.93,8.55,3.26,90.83,6.82,60%,观察
002243,力合科创,11.41,11.2,2.31,90.06,6.74,60%,观察
600571,信雅达,16.61,16.29,2.15,80.24,3.75,60%,观察
601608,中信重工,7.5,7.41,4.43,97.92,1.21,60%,观察
002416,爱施德,13.64,13.02,1.92,86.06,6.15,60%,观察
603739,蔚蓝生物,15.3,15.1,2.33,83.51,4.79,60%,观察
603703,盛洋科技,17.18,17.01,8.24,100.0,3.0,60%,观察
600037,歌华有线,7.91,7.63,2.24,100.0,3.67,60%,观察
600703,三安光电,15.39,14.97,2.95,90.73,3.5,60%,观察
