代码,名称,现价,涨跌幅,换手率,RSI14,历史期望,信号强度,全自动复盘逻辑
601456,国联民生,9.41,1.18%,4.11%,57.89,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
603181,皇马科技,15.39,6.73%,3.28%,53.07,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
000958,电投产融,6.41,9.01%,3.23%,59.47,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
002601,龙佰集团,15.34,6.45%,3.45%,51.2,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
603519,立霸股份,13.64,10.0%,7.5%,57.89,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
600906,财达证券,6.99,10.08%,7.7%,64.0,0%,90%,【倍量起爆】 精选观察：回踩支撑位不破可试错。
000973,佛塑科技,15.06,7.57%,8.63%,50.19,7.19%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002258,利尔化学,13.17,1.78%,3.06%,59.16,6.91%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
600576,祥源文旅,6.18,9.96%,6.59%,56.0,7.76%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
000510,新金路,19.37,9.99%,11.99%,61.26,6.48%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
603015,弘讯科技,13.27,4.32%,9.83%,54.53,7.13%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
002215,诺 普 信,9.58,9.99%,3.9%,59.35,8.22%,100%,【倍量起爆】 一击必中：建议次日结合分时图择机切入。
