代码,名称,现价,涨停日,回调天数,信号强度,操作建议,买入逻辑
002207,准油股份,10.01,2026-01-29,2,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.06
002054,德美化工,8.64,2026-01-27,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.00
600987,航民股份,7.32,2026-01-28,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
002724,海洋王,7.34,2026-01-28,3,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
002115,三维通信,14.6,2026-01-27,4,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.01
000565,渝三峡Ａ,8.03,2026-01-23,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.51
603132,金徽股份,17.5,2026-01-26,5,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.17
600722,金牛化工,7.86,2026-01-29,2,强,分批建仓,首板后缩量回踩支撑位，缩量比率:0.54
600552,凯盛科技,14.24,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.46
002519,银河电子,7.85,2026-01-22,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.30
601012,隆基绿能,17.64,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.34
002405,四维图新,10.15,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.35
000159,国际实业,6.72,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.38
002446,盛路通信,11.6,2026-01-27,4,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.01
600352,浙江龙盛,13.7,2026-01-28,3,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.02
603095,越剑智能,18.12,2026-01-22,7,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.53
600732,爱旭股份,13.37,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.41
000990,诚志股份,8.24,2026-01-23,5,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.62
000815,美利云,13.83,2026-01-28,3,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.02
000407,胜利股份,5.02,2026-01-22,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.55
601608,中信重工,7.3,2026-01-22,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.78
002634,棒杰股份,5.5,2026-01-27,4,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.02
603138,海量数据,16.85,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.36
000592,平潭发展,10.05,2026-01-23,6,中,轻仓试错,首板后缩量回踩支撑位，缩量比率:0.80
