日期,代码,名称,最高涨幅%,收盘涨幅%,换手率,量比,买入信号强度,操作建议
2026-06-10,603949,雪龙集团,8.98,1.9,9.75,3.86,80,重点关注：强力试盘，次日择机试错
2026-06-08,603888,新华网,8.78,1.3,7.26,5.48,60,分批建仓：小幅回落，形态尚可
2026-06-08,002234,民和股份,8.78,1.39,4.86,1.58,40,暂时放弃：抛压过重或资金撤退
2026-06-08,600158,中体产业,8.77,1.18,10.52,1.16,40,暂时放弃：抛压过重或资金撤退
2026-06-08,002457,青龙管业,8.2,1.97,15.16,1.62,40,暂时放弃：抛压过重或资金撤退
2026-06-10,000859,国风新材,9.13,1.79,15.38,1.74,40,暂时放弃：抛压过重或资金撤退
2026-06-08,001289,龙源电力,7.95,0.71,0.33,0.93,40,暂时放弃：抛压过重或资金撤退
2026-06-10,000890,法尔胜,9.01,1.7,15.94,1.78,40,暂时放弃：抛压过重或资金撤退
2026-06-10,600579,中化装备,10.04,-1.12,7.2,4.84,40,暂时放弃：抛压过重或资金撤退
2026-06-08,603010,万盛股份,7.51,-2.07,4.58,2.11,40,暂时放弃：抛压过重或资金撤退
2026-06-08,001896,豫能控股,8.15,-1.41,17.4,1.12,0,暂时放弃：抛压过重或资金撤退
